STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0023814057,1,0,,,,0,,,
NY,0023819170,1,0,,,,0,,,
NY,0023826306,1,0,,,,0,,,
NY,0023826820,1,0,,,,0,,,
NY,0023832296,1,0,,,,0,,,
NY,0023834904,1,0,,,,0,,,
NY,0023834942,1,0,,,,0,,,
NY,0023839092,1,0,,,,0,,,
NY,0023858111,1,0,,,,0,,,
NY,0023866255,1,0,,,,0,,,
NY,0023873903,1,0,,,,0,,,
NY,0023882376,1,0,,,,0,,,
NY,0023901486,1,0,,,,0,,,
NY,0023901892,1,0,,,,0,,,
NY,0023908674,1,0,,,,0,,,
NY,0023908939,1,0,,,,0,,,
NY,0023914560,1,0,,,,0,,,
NY,0023915781,1,0,,,,0,,,
NY,0023918898,1,0,,,,0,,,
NY,0023926462,1,0,,,,0,,,
NY,0023929325,1,0,,,,0,,,
NY,0023942038,1,0,,,,0,,,
NY,0023947832,1,0,,,,0,,,
NY,0023993980,1,0,,,,0,,,
NY,0023995305,1,0,,,,0,,,
NY,0024001856,1,0,,,,0,,,
NY,0024005726,1,0,,,,0,,,
NY,0024011982,1,0,,,,0,,,
NY,0024019458,1,0,,,,0,,,
NY,0024023264,1,0,,,,0,,,
NY,0024024372,1,0,,,,0,,,
NY,0024035708,1,0,,,,0,,,
NY,0024053321,1,0,,,,0,,,
NY,0024057511,1,0,,,,0,,,
NY,0024060281,1,0,,,,0,,,
NY,0024061236,1,0,,,,0,,,
NY,0024061944,1,0,,,,0,,,
NY,0024068842,1,0,,,,0,,,
NY,0024078311,1,0,,,,0,,,
NY,0024079799,1,0,,,,0,,,
NY,0024090203,1,0,,,,0,,,
NY,0024110962,1,0,,,,0,,,
NY,0024139184,1,0,,,,0,,,
NY,0024162180,1,0,,,,0,,,
NY,0024163911,1,0,,,,0,,,
NY,0024177133,1,0,,,,0,,,
NY,0024178885,1,0,,,,0,,,
NY,0024182398,1,0,,,,0,,,
NY,0024189531,1,0,,,,0,,,
NY,0024195898,1,0,,,,0,,,
NY,0024226975,1,0,,,,0,,,
NY,0024230786,1,0,,,,0,,,
NY,0024233402,1,0,,,,0,,,
NY,0024243319,1,0,,,,0,,,
NY,0024244591,1,0,,,,0,,,
NY,0024255680,1,0,,,,0,,,
NY,0024261480,1,0,,,,0,,,
NY,0024282217,1,0,,,,0,,,
NY,0024283279,1,0,,,,0,,,
NY,0024284770,1,0,,,,0,,,
NY,0024288579,1,0,,,,0,,,
NY,0024291370,1,0,,,,0,,,
NY,0024296238,1,0,,,,0,,,
NY,0024298209,1,0,,,,0,,,
NY,0024317809,1,0,,,,0,,,
